asof0,asof1,cp,K,T,price0_pde,delta0_pde,price0_bsm,delta0_bsm,S0,S1,T1,price1_pde,price1_bsm,pnl_pde,pnl_bsm,m,T_bucket,m_bucket,pair
2025-09-23,2025-09-24,P,6615.0,0.019178082191780823,46.03648323315663,-0.07118390932899439,23.449489238646947,-0.32653022555362754,6656.92,6637.97,0.01643835616438356,191.46447628496585,27.49578855001846,-0.8989350817844315,-5.737747774241183,0.9928032546708576,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6620.0,0.019178082191780823,89.96926058182754,0.8928710400748903,67.75103043261515,0.658788283400326,6656.92,6637.97,0.01643835616438356,218.56184763323378,52.28720095311337,-1.3800937905809896,-5.81596202956394,0.9935536728527705,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6620.0,0.019178082191780823,47.05657646888221,-0.10712895992541918,24.799464874884052,-0.3421177760923096,6656.92,6637.97,0.01643835616438356,194.65249604239912,29.16233813446661,-1.2800937905866738,-5.733131856949204,0.9935536728527705,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6625.0,0.019178082191780823,92.9064624162577,0.9683269488836115,64.2010050590161,0.6425658643520064,6656.92,6637.97,0.01643835616438356,254.36513880988824,49.06945595809066,0.3497956813442613,-5.8233768705295965,0.9943040910346835,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6625.0,0.019178082191780823,54.989252106847815,-0.031673051116858066,26.24943950128636,-0.35834019514063153,6656.92,6637.97,0.01643835616438356,235.451301303915,30.94459313944617,0.39979568133554544,-5.790546697914903,0.9943040910346835,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6630.0,0.019178082191780823,89.34362626928211,0.9376080902925936,60.650979288279814,0.6260403150104005,6656.92,6637.97,0.01643835616438356,229.11036853651993,45.87096053095729,0.11767331104448076,-5.786536030553023,0.9950545092165964,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6630.0,0.019178082191780823,56.42188976341214,-0.06239190970783534,27.749413504302993,-0.3750092257385832,6656.92,6637.97,0.01643835616438356,215.19204511548654,32.79418558131965,0.16767331103653316,-5.756424827746082,0.9950545092165964,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6635.0,0.019178082191780823,85.38216177311463,0.8998478049545218,57.25095219513196,0.6087664077146121,6656.92,6637.97,0.01643835616438356,184.81397968039096,42.83667925983991,-0.29788409611197153,-5.813876573808205,0.9958049273985095,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6635.0,0.019178082191780823,57.45589907079339,-0.10015219504573591,29.24938683076516,-0.39201607829911833,6656.92,6637.97,0.01643835616438356,175.89117034427238,34.664086051154754,-0.0978840961166767,-5.628704683768221,0.9958049273985095,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6640.0,0.019178082191780823,87.97302241790776,0.9506340458123612,53.90092448596124,0.5910533262773225,6656.92,6637.97,0.01643835616438356,245.92954987835313,39.87046810747279,1.1145151681440666,-5.6995394670448505,0.9965553455804225,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6640.0,0.019178082191780823,65.04223351912358,-0.049365954187933235,30.94935892823196,-0.40985273321531596,6656.92,6637.97,0.01643835616438356,242.00225462711,36.7456052888283,1.2145151681386692,-5.6167092944301675,0.9965553455804225,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6645.0,0.019178082191780823,85.73585459163617,0.9484265125788892,50.65089593373568,0.5727991745819792,6656.92,6637.97,0.01643835616438356,236.49253943713003,37.020031685710364,1.4726824133697782,-5.6454556416715995,0.9973057637623354,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6645.0,0.019178082191780823,67.80053949639107,-0.0515734874214554,32.6493305028157,-0.4280258085461133,6656.92,6637.97,0.01643835616438356,237.5607582707753,38.84824622845417,1.622682413363431,-5.511089071948767,0.9973057637623354,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
