cp,K,T,mid,price_pde,delta_pde,price_err,rq,F_T
P,6675.0,0.0191780821917808,36.55,41.44231741883468,-0.53338235663083,4.892317418834686,-0.07887661846599472,6678.35
C,6680.0,0.0191780821917808,36.85,41.9480445684612,0.3992972351357859,5.098044568461198,-0.07887661846599472,6678.35
P,6680.0,0.0191780821917808,38.5,43.60054241598853,-0.6007027648642074,5.100542415988528,-0.07887661846599472,6678.35
C,6685.0,0.0191780821917808,34.0,39.179265778802424,0.38812851311887697,5.179265778802424,-0.07887661846599472,6678.35
P,6685.0,0.0191780821917808,40.65,45.83933286124632,-0.6118714868811134,5.189332861246321,-0.07887661846599472,6678.35
C,6690.0,0.0191780821917808,31.25,36.36000003544973,0.37808240170043594,5.11000003544973,-0.07887661846599472,6678.35
P,6690.0,0.0191780821917808,43.0,48.02763635280836,-0.6219175982995766,5.027636352808358,-0.07887661846599472,6678.35
C,6695.0,0.0191780821917808,28.65,33.46994991518771,0.3692237882757011,4.819949915187713,-0.07887661846599472,6678.35
P,6695.0,0.0191780821917808,45.3,50.145155467463134,-0.6307762117242857,4.845155467463137,-0.07887661846599472,6678.35
C,6700.0,0.0191780821917808,26.15,30.701615771044466,0.30706386372941386,4.551615771044467,-0.07887661846599472,6678.35
P,6700.0,0.0191780821917808,48.0,52.384390558235744,-0.6929361362706048,4.384390558235744,-0.07887661846599472,6678.35
C,6705.0,0.0191780821917808,23.75,28.156065589532997,0.294801860120827,4.4060655895329965,-0.07887661846599472,6678.35
P,6705.0,0.0191780821917808,51.0,54.846409611639864,-0.7051981398791628,3.8464096116398636,-0.07887661846599472,6678.35
C,6710.0,0.0191780821917808,21.55,25.696516925386195,0.2823390329189681,4.146516925386194,-0.07887661846599472,6678.35
P,6710.0,0.0191780821917808,54.0,57.39443018240847,-0.717660967081024,3.3944301824084704,-0.07887661846599472,6678.35
C,6715.0,0.0191780821917808,18.4,23.170802862256853,0.2712908624283145,4.770802862256854,-0.07887661846599472,6678.35
P,6715.0,0.0191780821917808,57.0,59.87628535419479,-0.7287091375716774,2.876285354194792,-0.07887661846599472,6678.35
C,6720.0,0.0191780821917808,17.5,20.690142538114937,0.26055459641274004,3.1901425381149373,-0.07887661846599472,6678.35
P,6720.0,0.0191780821917808,60.0,62.4031942649675,-0.7394454035872416,2.403194264967503,-0.07887661846599472,6678.35
C,6725.0,0.0191780821917808,15.7,18.395592492968596,0.204063150714063,2.695592492968597,-0.07887661846599472,6678.35
P,6725.0,0.0191780821917808,63.0,65.11621345473799,-0.7959368492859249,2.116213454737988,-0.07887661846599472,6678.35
C,6730.0,0.0191780821917808,14.0,16.27284490657863,0.19084379908631782,2.27284490657863,-0.07887661846599472,6678.35
P,6730.0,0.0191780821917808,66.0,68.0010351032647,-0.8091562009136783,2.001035103264698,-0.07887661846599472,6678.35
C,6735.0,0.0191780821917808,12.4,14.244044557044429,0.17744289041524908,1.8440445570444286,-0.07887661846599472,6678.35
P,6735.0,0.0191780821917808,69.0,70.97980398864567,-0.8225571095847433,1.9798039886456706,-0.07887661846599472,6678.35
C,6740.0,0.0191780821917808,11.0,12.223362818068948,0.16502761296255175,1.2233628180689475,-0.07887661846599472,6678.35
P,6740.0,0.0191780821917808,72.0,73.96669148458636,-0.8349723870374388,1.966691484586363,-0.07887661846599472,6678.35
C,6745.0,0.0191780821917808,9.65,10.325580950085875,0.15261881529773363,0.6755809500858749,-0.07887661846599472,6678.35
P,6745.0,0.0191780821917808,75.0,77.07647885152005,-0.8473811847022787,2.0764788515200507,-0.07887661846599472,6678.35
C,6750.0,0.0191780821917808,7.699999999999999,8.653383526261019,0.10841150706061785,0.9533835262610193,-0.07887661846599472,6678.35
P,6750.0,0.0191780821917808,78.75,80.41185066260957,-0.8915884929393698,1.6618506626095666,-0.07887661846599472,6678.35
C,6755.0,0.0191780821917808,7.4,7.140148509494671,0.09576926485877102,-0.2598514905053291,-0.07887661846599472,6678.35
P,6755.0,0.0191780821917808,84.0,83.90618488075866,-0.9042307351412269,-0.09381511924134145,-0.07887661846599472,6678.35
C,6760.0,0.0191780821917808,6.449999999999999,5.73952336477936,0.08301420656962533,-0.7104766352206395,-0.07887661846599472,6678.35
P,6760.0,0.0191780821917808,86.25,87.51312897095868,-0.9169857934303727,1.2631289709586753,-0.07887661846599472,6678.35
C,6615.0,0.021917808219178,87.0,90.09503010382235,0.6375100028281295,3.095030103822353,-0.06355194663502502,6679.15
P,6615.0,0.021917808219178,23.25,25.855612064106,-0.3624899971718621,2.605612064106001,-0.06355194663502502,6679.15
C,6620.0,0.021917808219178,84.0,86.62451012672435,0.6302610650311411,2.6245101267243456,-0.06355194663502502,6679.15
P,6620.0,0.021917808219178,24.25,27.39206153671342,-0.3697389349688588,3.1420615367134204,-0.06355194663502502,6679.15
C,6625.0,0.021917808219178,78.0,83.0855073278891,0.6241142471598256,5.085507327889104,-0.06355194663502502,6679.15
P,6625.0,0.021917808219178,25.45,28.860028187583627,-0.3758857528401808,3.4100281875836274,-0.06355194663502502,6679.15
C,6630.0,0.021917808219178,75.0,79.64144075403978,0.5721508026431342,4.6414407540397775,-0.06355194663502502,6679.15
P,6630.0,0.021917808219178,26.6,30.42293106344042,-0.42784919735685917,3.822931063440418,-0.06355194663502502,6679.15
C,6635.0,0.021917808219178,72.0,76.40313740109212,0.5631479768406614,4.403137401092124,-0.06355194663502502,6679.15
P,6635.0,0.021917808219178,27.85,32.19159716019818,-0.4368520231593499,4.341597160198177,-0.06355194663502502,6679.15
C,6640.0,0.021917808219178,69.0,73.23139582445569,0.5540905260739984,4.231395824455689,-0.06355194663502502,6679.15
P,6640.0,0.021917808219178,29.2,34.026825033267514,-0.4459094739260042,4.826825033267514,-0.06355194663502502,6679.15
C,6645.0,0.021917808219178,63.0,69.94960134092437,0.5466592272739733,6.949601340924374,-0.06355194663502502,6679.15
P,6645.0,0.021917808219178,30.45,35.75199999944224,-0.45334077272601053,5.301999999442241,-0.06355194663502502,6679.15
C,6650.0,0.021917808219178,60.0,66.67019645780998,0.53955796991029,6.670196457809979,-0.06355194663502502,6679.15
P,6650.0,0.021917808219178,31.950000000000003,37.479564566032366,-0.46044203008969636,5.529564566032363,-0.06355194663502502,6679.15
C,6655.0,0.021917808219178,57.55,63.56506217632647,0.48555005811512214,6.015062176326474,-0.06355194663502502,6679.15
P,6655.0,0.021917808219178,33.45,39.38139973425383,-0.514449941884876,5.93139973425383,-0.06355194663502502,6679.15
C,6660.0,0.021917808219178,54.15,60.60074758185588,0.4756893245622949,6.450747581855879,-0.06355194663502502,6679.15
P,6660.0,0.021917808219178,35.099999999999994,41.42405458948884,-0.5243106754376935,6.324054589488846,-0.06355194663502502,6679.15
C,6665.0,0.021917808219178,43.6,57.67900882866728,0.46616715340657744,14.079008828667277,-0.06355194663502502,6679.15
P,6665.0,0.021917808219178,36.9,43.509285286005216,-0.5338328465934269,6.609285286005218,-0.06355194663502502,6679.15
C,6670.0,0.021917808219178,40.5,54.615736042670775,0.4581026265363188,14.115736042670775,-0.06355194663502502,6679.15
P,6670.0,0.021917808219178,38.7,45.452981949714484,-0.5418973734636789,6.752981949714481,-0.06355194663502502,6679.15
C,6675.0,0.021917808219178,44.65,51.60495748791698,0.45005654755593344,6.954957487916978,-0.06355194663502502,6679.15
P,6675.0,0.021917808219178,40.65,47.449172844666144,-0.5499434524440562,6.7991728446661455,-0.06355194663502502,6679.15
C,6680.0,0.021917808219178,41.65,48.83630360992765,0.39621900578490404,7.1863036099276485,-0.06355194663502502,6679.15
P,6680.0,0.021917808219178,42.5,49.6874884163813,-0.6037809942150947,7.187488416381299,-0.06355194663502502,6679.15
C,6685.0,0.021917808219178,38.75,46.15480817018626,0.38573879325009264,7.404808170186257,-0.06355194663502502,6679.15
P,6685.0,0.021917808219178,45.0,52.0129624263465,-0.6142612067498959,7.012962426346498,-0.06355194663502502,6679.15
C,6690.0,0.021917808219178,36.0,43.44911629553643,0.37601941379544807,7.449116295536427,-0.06355194663502502,6679.15
P,6690.0,0.021917808219178,46.8,54.31424000140186,-0.6239805862045488,7.514240001401866,-0.06355194663502502,6679.15
C,6695.0,0.021917808219178,33.3,40.67742055298557,0.3670293285334026,7.377420552985576,-0.06355194663502502,6679.15
P,6695.0,0.021917808219178,48.0,56.54951370855674,-0.6329706714665908,8.549513708556738,-0.06355194663502502,6679.15
C,6700.0,0.021917808219178,30.75,38.021052884520486,0.3179179130193992,7.271052884520486,-0.06355194663502502,6679.15
P,6700.0,0.021917808219178,51.55,58.90011548979711,-0.6820820869806067,7.350115489797112,-0.06355194663502502,6679.15
C,6705.0,0.021917808219178,28.3,35.55606948705621,0.30687975218780467,7.256069487056212,-0.06355194663502502,6679.15
P,6705.0,0.021917808219178,54.0,61.44210154203784,-0.6931202478121814,7.44210154203784,-0.06355194663502502,6679.15
C,6710.0,0.021917808219178,25.95,33.1942555344131,0.2961082753725972,7.244255534413103,-0.06355194663502502,6679.15
P,6710.0,0.021917808219178,57.0,64.08725703909981,-0.7038917246273904,7.087257039099811,-0.06355194663502502,6679.15
C,6715.0,0.021917808219178,23.75,30.76688302095108,0.2862456374389589,7.016883020951081,-0.06355194663502502,6679.15
