cp,K,T,m,mid,mid1,price0_pde,price1_pde,delta0_pde,price0_bsm,price1_bsm,delta0_bsm,pnl_pde,pnl_bsm,T_bucket,m_bucket
P,6680.0,0.024657534246575342,1.0000387889003746,46.4,29.4,55.73304169820732,68.19494831183694,-0.6007831689844877,23.18544664890942,12.038928039775328,-0.4994109334168768,-3.338190737292882,-5.643395374100331,2.0-3.0%,1.00-1.02
C,6685.0,0.024657534246575342,1.0007873209279945,43.15,58.15,52.96164848710679,97.15445122440308,0.3812556092163816,103.05876667137,109.28334981730404,0.4993345051375458,6.330247446419566,3.6451333531723176,2.0-3.0%,1.00-1.02
P,6685.0,0.024657534246575342,1.0007873209279945,47.9,31.049999999999997,58.22761302116445,69.94045351553272,-0.6187443907835806,108.31787181930986,90.86057943744481,-0.4993618905719937,-2.779752553581515,-5.494510608392973,2.0-3.0%,1.00-1.02
C,6690.0,0.024657534246575342,1.0015358529556146,40.400000000000006,54.75,50.451814614584144,100.21763896966144,0.36841580577287847,142.59225268231694,146.2827168956478,0.4993383975006095,5.972224576724818,2.9950448408362433,2.0-3.0%,1.00-1.02
P,6690.0,0.024657534246575342,1.0015358529556146,50.6,32.45,60.72430567409789,78.00288284814292,-0.6315841942270873,152.85134715584127,132.8599364481538,-0.499357999805922,-3.7877754232761696,-6.794599084413441,2.0-3.0%,1.00-1.02
C,6695.0,0.024657534246575342,1.0022843849832346,37.6,51.400000000000006,47.954386465711146,95.94605222634542,0.3538065837505072,172.6111203804844,174.38449557003514,0.49934016096968714,5.754438285513547,2.445004739549427,2.0-3.0%,1.00-1.02
P,6695.0,0.024657534246575342,1.0022843849832346,53.35,34.099999999999994,63.23340405068047,78.73053769218212,-0.6461934162494831,187.87022341338752,165.96172320647065,-0.49935623505662263,-4.5555617144869025,-7.894639214812518,2.0-3.0%,1.00-1.02
C,6700.0,0.024657534246575342,1.0030329170108547,35.05,48.35,45.593285126075244,90.89287312487853,0.33713552220474313,197.63216367659288,197.79953759487216,0.4993412220741343,5.633538225064219,1.9449806100342997,2.0-3.0%,1.00-1.02
P,6700.0,0.024657534246575342,1.0030329170108547,54.0,35.85,65.87882923650008,78.67660017807117,-0.6628644777952318,217.89126299813006,194.37676172428792,-0.499355174507227,-3.076461774936572,-6.794663331705765,2.0-3.0%,1.00-1.02
C,6705.0,0.024657534246575342,1.0037814490384747,32.5,45.150000000000006,43.343050564259535,94.99904411255874,0.32056655421530333,219.44031504306258,218.1980934524372,0.4993419504130607,5.360316557144078,1.294964047607115,2.0-3.0%,1.00-1.02
P,6705.0,0.024657534246575342,1.0037814490384747,56.35,37.95,68.63512120013968,87.78201275310131,-0.6794334457847337,244.69941060706378,219.775314029127,-0.49935444673019275,-2.949683442855301,-7.044679881355524,2.0-3.0%,1.00-1.02
C,6710.0,0.024657534246575342,1.0045299810660948,30.1,42.55,41.05624237621626,92.14853051210866,0.3100925446918265,238.95934991287095,236.44607820014198,0.4993424882827671,5.398495533707929,1.0949518164499796,2.0-3.0%,1.00-1.02
P,6710.0,0.024657534246575342,1.0045299810660948,60.0,39.7,71.35483953755107,89.93074074000764,-0.6899074553081436,269.21845325053073,243.02330612706646,-0.4993539076980427,-4.611504466292963,-8.944692138946614,2.0-3.0%,1.00-1.02
C,6715.0,0.024657534246575342,1.0052785130937147,27.85,39.15,38.85619236866724,87.36077573928112,0.29471146173506313,256.7409603064775,253.0611539960296,0.49934290786977875,4.5982613601447255,-0.055057724958663457,2.0-3.0%,1.00-1.02
P,6715.0,0.024657534246575342,1.0052785130937147,63.0,41.95,74.16131605545833,90.14222755453058,-0.7052885382649356,292.0000590484592,264.6383775771319,-0.4993534887982369,-5.0117386398555155,-9.6947016647282,2.0-3.0%,1.00-1.02
C,6720.0,0.024657534246575342,1.006027045121335,25.65,36.2,36.81898602225233,85.5021731545002,0.27872623147226633,273.1458180659042,268.3819719754183,0.4993432463983935,4.211765496320729,-0.8050654230993555,2.0-3.0%,1.00-1.02
P,6720.0,0.024657534246575342,1.006027045121335,66.0,44.1,77.13063623449902,93.28286655710579,-0.7212737685276793,313.40492245980795,284.95920090195386,-0.4993531494244978,-5.498234503680727,-10.544709382087028,2.0-3.0%,1.00-1.02
C,6725.0,0.024657534246575342,1.0067755771489548,23.55,33.5,34.79151322188639,88.73234315487164,0.26724139702687993,288.425045647577,282.64443398512367,0.49934352679664834,3.872930631608808,-1.4050717993556745,2.0-3.0%,1.00-1.02
P,6725.0,0.024657534246575342,1.0067755771489548,67.19999999999999,46.4,80.10968995958886,101.51227814482941,-0.7327586029730695,333.68414633481234,304.22165940599143,-0.4993528695804961,-4.137069368392549,-9.444715745739618,2.0-3.0%,1.00-1.02
C,6730.0,0.024657534246575342,1.007524109176575,21.6,31.049999999999997,32.790996224927426,84.55018686205477,0.25444439030478216,0.0,0.0,0.0,3.6639345644693044,9.449999999999996,2.0-3.0%,1.00-1.02
P,6730.0,0.024657534246575342,1.007524109176575,72.0,49.3,83.11569948808503,102.32936343936626,-0.7455556096952244,353.0209068107315,322.59788720982306,-0.49935263125261997,-5.746065435530763,-11.344721165315534,2.0-3.0%,1.00-1.02
C,6735.0,0.024657534246575342,1.008272641204195,19.75,28.4,30.925725681537266,79.51246581216385,0.24018201377899417,0.0,0.0,0.0,3.1882610066657238,8.649999999999999,2.0-3.0%,1.00-1.02
P,6735.0,0.024657534246575342,1.008272641204195,75.0,51.3,86.25695547014978,102.29088397682874,-0.7598179862210006,371.5536277330302,340.2179984022587,-0.499352427282627,-6.421738993334614,-12.344725803593173,2.0-3.0%,1.00-1.02
C,6740.0,0.024657534246575342,1.009021173231815,18.05,26.15,29.159158910836695,84.81512620194373,0.2259131835112447,0.0,0.0,0.0,2.9627342069543428,8.099999999999998,2.0-3.0%,1.00-1.02
P,6740.0,0.024657534246575342,1.009021173231815,78.0,54.5,89.49691522490517,112.59278595396064,-0.774086816488765,389.3899851836172,357.18322646831894,-0.4993522481859132,-5.897265793045655,-12.144729876252443,2.0-3.0%,1.00-1.02
C,6745.0,0.024657534246575342,1.009769705259435,16.4,23.950000000000003,27.374988467337793,82.33305107176372,0.21699747294732788,0.0,0.0,0.0,2.6154774651778157,7.550000000000004,2.0-3.0%,1.00-1.02
