cp,K,T,F,df,mid,iv_parity
C,6755.0,0.0246575342465753,6679.75,1.0,12.55,0.09318865166045537
P,6755.0,0.0246575342465753,6679.75,1.0,90.0,0.10005707570083973
C,6760.0,0.0246575342465753,6679.75,1.0,11.9,0.09454791143144498
P,6760.0,0.0246575342465753,6679.75,1.0,93.0,0.09731291466203087
C,6615.0,0.0273972602739726,6682.25,1.0,96.4,0.12875264702330874
P,6615.0,0.0273972602739726,6682.25,1.0,30.1,0.1311696350922689
C,6620.0,0.0273972602739726,6682.25,1.0,93.2,0.12915726084217646
P,6620.0,0.0273972602739726,6682.25,1.0,31.25,0.12990866169485496
C,6625.0,0.0273972602739726,6682.25,1.0,89.19999999999999,0.1274138494304462
P,6625.0,0.0273972602739726,6682.25,1.0,32.7,0.1292669330445726
C,6630.0,0.0273972602739726,6682.25,1.0,85.4,0.12604548268971189
P,6630.0,0.0273972602739726,6682.25,1.0,33.65,0.1272657610973881
C,6635.0,0.0273972602739726,6682.25,1.0,81.55,0.12442941901877196
P,6635.0,0.0273972602739726,6682.25,1.0,34.95,0.12599706453166937
C,6640.0,0.0273972602739726,6682.25,1.0,78.30000000000001,0.1241191592870347
P,6640.0,0.0273972602739726,6682.25,1.0,36.35,0.12483433834987227
C,6645.0,0.0273972602739726,6682.25,1.0,74.45,0.12223497783008046
P,6645.0,0.0273972602739726,6682.25,1.0,38.8,0.12600852948176966
C,6650.0,0.0273972602739726,6682.25,1.0,71.44999999999999,0.12220887370990675
P,6650.0,0.0273972602739726,6682.25,1.0,39.25,0.1223257605277497
C,6655.0,0.0273972602739726,6682.25,1.0,68.0,0.12097257599127502
P,6655.0,0.0273972602739726,6682.25,1.0,40.8,0.12108851446417654
C,6660.0,0.0273972602739726,6682.25,1.0,64.65,0.11981660776805389
P,6660.0,0.0273972602739726,6682.25,1.0,42.45,0.11993173150876052
C,6665.0,0.0273972602739726,6682.25,1.0,61.35,0.11861957584062774
P,6665.0,0.0273972602739726,6682.25,1.0,44.15,0.11873402845912003
C,6670.0,0.0273972602739726,6682.25,1.0,58.15,0.11749069557067504
P,6670.0,0.0273972602739726,6682.25,1.0,45.85,0.11737676569506059
C,6675.0,0.0273972602739726,6682.25,1.0,55.0,0.11631030173051352
P,6675.0,0.0273972602739726,6682.25,1.0,47.75,0.11631030173051352
C,6680.0,0.0273972602739726,6682.25,1.0,51.95,0.11518587461745391
P,6680.0,0.0273972602739726,6682.25,1.0,49.7,0.11518587461745391
C,6685.0,0.0273972602739726,6682.25,1.0,48.85,0.11377504557815771
P,6685.0,0.0273972602739726,6682.25,1.0,51.75,0.1141150137168077
C,6690.0,0.0273972602739726,6682.25,1.0,45.8,0.11229558060021505
P,6690.0,0.0273972602739726,6682.25,1.0,53.8,0.11286294360808515
C,6695.0,0.0273972602739726,6682.25,1.0,43.35,0.11199340709028366
P,6695.0,0.0273972602739726,6682.25,1.0,56.0,0.11176578248463097
C,6700.0,0.0273972602739726,6682.25,1.0,40.65,0.1109345883761075
P,6700.0,0.0273972602739726,6682.25,1.0,58.25,0.11059150995439464
C,6705.0,0.0273972602739726,6682.25,1.0,38.0,0.10979451184861083
P,6705.0,0.0273972602739726,6682.25,1.0,61.599999999999994,0.11175098908446253
C,6710.0,0.0273972602739726,6682.25,1.0,35.45,0.10868302047636894
P,6710.0,0.0273972602739726,6682.25,1.0,63.85,0.1101920964445502
C,6715.0,0.0273972602739726,6682.25,1.0,33.05,0.10771398582189066
P,6715.0,0.0273972602739726,6682.25,1.0,66.45,0.10923903461829433
C,6720.0,0.0273972602739726,6682.25,1.0,30.75,0.10677004355439916
P,6720.0,0.0273972602739726,6682.25,1.0,68.9,0.10772072927994805
C,6725.0,0.0273972602739726,6682.25,1.0,28.55,0.10584952861303028
P,6725.0,0.0273972602739726,6682.25,1.0,72.19999999999999,0.10801912745085591
C,6730.0,0.0273972602739726,6682.25,1.0,26.45,0.10495139619977381
P,6730.0,0.0273972602739726,6682.25,1.0,75.1,0.10715816658886747
C,6735.0,0.0273972602739726,6682.25,1.0,24.45,0.10407528485323113
P,6735.0,0.0273972602739726,6682.25,1.0,77.3,0.10432575441541346
